Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"All of the Above","All of the Above Boulder > River Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108259936/all-of-the-above,3.8,-1,Boulder,V12,1,20,47.8172,-121.6018
Autopilot,"Busted Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119329249/autopilot,3.0,-1,Boulder,V11,1,18,47.54501,-120.73283
Beautification,"Alphabet Wall Boulders > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122840991/beautification,4.0,-1,Boulder,V11,1,,47.54431,-120.7435
"Beyond The Grave","Beyond The Grave Cave > Rattlesnake Lake Bouldering > Exit 32; Rattlesnake Lake > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125904044/beyond-the-grave,4.0,-1,Boulder,V10-11,1,,47.43509,-121.77422
"Caesar Salad","Roman Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/119982068/caesar-salad,3.0,-1,Boulder,V11,1,,45.74506,-121.76217
"Cattleguard Dyno","The Pasture > Mountain Home Road Boulders > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119045013/cattleguard-dyno,2.5,-1,Boulder,V11,1,,47.54418,-120.67133
"Cattleguard Project.","The Pasture > Mountain Home Road Boulders > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119045049/cattleguard-project,3.0,-1,Boulder,V12,1,,47.54418,-120.67133
Cloaca,"Cloaca Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121808607/cloaca,4.0,-1,Boulder,V11,1,15,47.54256,-120.72288
"Cole's Corner Low","Hourglass Boulder > The Sword/Underwear Rock > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126116727/coles-corner-low,-1.0,-1,Boulder,V12,1,,47.57018,-120.78803
Cougarmilker,"The Swiss Project Boulder > Icicle Buttress Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125932530/cougarmilker,4.0,-1,Boulder,V11,1,,47.54658,-120.74992
"Crimp Pimp","Pimpsqueak Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121811231/crimp-pimp,3.0,-1,Boulder,V10-11,1,20,47.54266,-120.72102
"Crystal Symbology","Western Outliers > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443417/crystal-symbology,4.0,-1,"Boulder, Alpine",V10-11,1,,47.79325,-121.08937
"Drawn and Quartered","Torture Chamber > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119830609/drawn-and-quartered,4.0,-1,Boulder,V13-14,1,15,47.5877,-120.68602
"Drip Hop","Drip Wall > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126118278/drip-hop,-1.0,-1,Boulder,V12,1,,47.61398,-120.71918
Fauxbriosity,"The Five Star Boulder > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/122301036/fauxbriosity,4.0,-1,Boulder,V11,1,,47.84284,-121.61072
"Finished Product","Jenny Craig > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125343444/finished-product,-1.0,-1,Boulder,V11,1,,47.60863,-120.71766
"Future Trippin’","Peephole Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121808657/future-trippin,3.0,-1,Boulder,V12,1,12,47.54254,-120.72295
Gavel,"Gavel Boulder > 420 Zone > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120106456/gavel,4.0,-1,Boulder,V11,1,18,47.66346,-121.40322
"God Is In the Details","Hanta Man Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114296776/god-is-in-the-details,3.8,-1,Boulder,V11,1,15,47.54254,-120.72259
"Green Lung","Green Lung/Strainer > JY Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120007816/green-lung,3.8,-1,Boulder,V11,1,12,47.55269,-120.7627
Hagakure,"Hagakure Boulder > River Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118772953/hagakure,4.0,-1,Boulder,V12,1,,47.81751,-121.59809
"Hagakure Low","Hagakure Boulder > River Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/126120234/hagakure-low,4.0,-1,Boulder,V13,1,,47.81751,-121.59809
He-man,"Hanta Man Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121810664/he-man,2.0,-1,Boulder,V11,1,12,47.54254,-120.72259
"Hell or Highwater","Heads Will Roll > Straightaway Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122573620/hell-or-highwater,4.0,-1,Boulder,V11,1,20,47.54575,-120.74885
"Judge Judy","Gavel Boulder > 420 Zone > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125009361/judge-judy,4.0,-1,Boulder,V14,1,,47.66346,-121.40322
"Judgement Day","Gavel Boulder > 420 Zone > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/125009345/judgement-day,4.0,-1,Boulder,V13,1,,47.66346,-121.40322
"King Slayer","The Throne Room > Washout Boulders > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120376171/king-slayer,4.0,-1,Boulder,V13,1,15,47.66696,-121.40319
"King Slayer (Low)","The Throne Room > Washout Boulders > Morpheus Boulders > Miller River Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120379745/king-slayer-low,4.0,-1,Boulder,V13,1,15,47.66696,-121.40319
"Mad Bush","The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125961040/mad-bush,-1.0,-1,Boulder,V12,1,,47.54305,-120.73494
"North Face [Project]","The Classic Boulder > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443238/north-face-project,4.0,-1,"Boulder, Alpine",V11+,1,15,47.79381,-121.08835
"Odd Job","From Russia With Love > Lower Bond Boulders > The Bond Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119095087/odd-job,2.0,-1,Boulder,V11,1,,47.55,-120.69672
"Positive Vibrations","Positive Vibrations boulder > Positive Vibrations Area > Clearcut > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/115473942/positive-vibrations,3.0,-1,Boulder,V11,1,,47.84745,-121.60821
Project,"Hilltop Boulder > Japanese Gardens > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119931795/project,-1.0,-1,Boulder,V11-12,1,12,47.54674,-120.72559
"Rodeo Low","The Dome > Bridge of the Gods Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/109062720/rodeo-low,2.5,-1,Boulder,V10-11,1,15,45.68705,-121.93359
Sidedoor,"The Real Thing Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122064847/sidedoor,2.0,-1,Boulder,V12,1,12,47.54498,-120.73286
Sinistral,"Little Bridge Creek Wall > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/124309291/sinistral,3.0,-1,Boulder,V11,1,30,47.56703,-120.78299
"SLC Punk","SLC Boulder > Sasquatch Boulders > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120376223/slc-punk,4.0,-1,Boulder,V13,1,12,47.83199,-121.52022
"Slingblade Sit","Slingblade Boulder > Pitless Avocado > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/126117059/slingblade-sit,-1.0,-1,Boulder,V13,1,,47.59711,-120.71303
"South Roof [Project]","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443371/south-roof-project,2.0,-1,"Boulder, Alpine",V12+,1,,47.79356,-121.08888
"Spare Me The Details","Hanta Man Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120846808/spare-me-the-details,4.0,-1,Boulder,V11-12,1,,47.54254,-120.72259
"Speak of the Devil","Halloween Bouldering > ** Bouldering at Index > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/124205803/speak-of-the-devil,4.0,-1,Boulder,V12,1,25,47.82474,-121.55494
"Spirit Of Stone","The Goliath Boulder > ** Bouldering at Mt Erie and Fidalgo Island > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/106770349/spirit-of-stone,2.0,-1,Boulder,V10-11,1,12,48.45226,-122.63209
"Steam Roller Sit Project","Steam Roller Cave > The Crown Cluster > Whiteface Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119645450/steam-roller-sit-project,3.0,-1,Boulder,V11-12,1,,47.76095,-121.12897
"Steep North Face [Project]","Western Outliers > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443449/steep-north-face-project,4.0,-1,"Boulder, Alpine",V12+,1,,47.79325,-121.08937
Stinger,"Doja Boulder > Central Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118110858/stinger,3.0,-1,Boulder,V12,1,,47.84756,-121.6075
"Takes a Village","The Five Star Boulder > Reiter Road > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118981711/takes-a-village,4.0,-1,Boulder,V13,1,,47.84284,-121.61072
"The Guillotine","Schist Cave > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123451560/the-guillotine,2.7,-1,Boulder,V11,1,20,47.66484,-120.71977
