Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"1-9 Project","River Boulder > 1st Field > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119590248/1-9-project,2.0,-1,Boulder,V8-9,1,,47.75635,-121.12923
"A Stone's Throw Away","The Goliath Boulder > ** Bouldering at Mt Erie and Fidalgo Island > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/119325665/a-stones-throw-away,3.3,-1,Boulder,V9,1,12,48.45226,-122.63209
"Aggressive Reject","Evil Petting Zoo > The Forest > The Beach and Forest Area > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105807075/aggressive-reject,2.8,-1,Boulder,V9,1,10,47.59457,-120.71431
"Alpine Goodness","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443335/alpine-goodness,4.0,-1,"Boulder, Alpine",V8-9,1,10,47.79356,-121.08888
"Appeasing the Gods","Sanctuary Boulders > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118985664/appeasing-the-gods,2.0,-1,Boulder,V9,1,,47.84738,-121.6046
"Atomic Energy","Hook Creek Boulder > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106577383/atomic-energy,3.0,-1,Boulder,V9,1,,47.54186,-120.72751
"Bare Naked","Ursa Minor > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/121615718/bare-naked,4.0,-1,Boulder,V8-9,1,12,45.74499,-121.76218
"Bears Eat Humans 5G","Road to Zion Boulder > East Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/121143628/bears-eat-humans-5g,2.0,-1,Boulder,V9,1,,47.84757,-121.60438
"Bedroom Bully","Busted Boulder > Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120106946/bedroom-bully,2.0,-1,Boulder,V8-9,1,12,47.54501,-120.73283
Beetlemania,"Geronimo Area > Mountain Home Road Boulders > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120837799/beetlemania,3.0,-1,Boulder,V9,1,15,47.55032,-120.65763
